"DIVISION_NO","DIVISION_NAME","DEPARTMENT_NO","DEPARTMENT_NAME","SECT_NO","SECT_NAME","PLANT_NO","PLANT_NAME","PLANT_TYPE","PROVINCE_NAME"
"90000144",RMC North,"00014804",North 2,"00014898",Prod.เชียงราย,"31VW",เชียงราย-เวียงชัย,CPAC,เชียงราย
"90000144",RMC North,"00014806",North 3,"00014988",Prod.พิษณุโลก,"31VY",พิษณุโลก-วังทอง,CPAC,พิษณุโลก
"90000144",RMC North,"00014806",North 3,"00014991",Prod.นครสวรรค์,"31WA",นครสวรรค์,CPAC,นครสวรรค์
"90000144",RMC North,"00014806",North 3,"00014991",Prod.นครสวรรค์,"31WC",อุทัยธานี,CPAC,อุทัยธานี
"90000144",RMC North,"00014806",North 3,"00014991",Prod.นครสวรรค์,"31WD",นครสวรรค์-หนองกรด,CPAC,นครสวรรค์
"90000144",RMC North,"00014806",North 3,"00014991",Prod.นครสวรรค์,"31WE",กำแพงเพชร,CPAC,กำแพงเพชร
"90000144",RMC North,"00014804",North 2,"00014899",Prod.ลำปาง,"31WF",ตาก,CPAC,ตาก
"90000144",RMC North,"00014806",North 3,"00014991",Prod.นครสวรรค์,"31WG",พิจิตร,CPAC,พิจิตร
"90000144",RMC North,"00014806",North 3,"00014991",Prod.นครสวรรค์,"31WI",พยุหะคีรี,CPAC,นครสวรรค์
"90000144",RMC North,"00014806",North 3,"00014991",Prod.นครสวรรค์,"31WJ",นครสวรรค์-บึงบอระเพ็ด,CPAC,นครสวรรค์
"90000144",RMC North,"00014803",North 1,"00014864",Prod.เชียงใหม่1,"31WV",เชียงใหม่-สันผีเสื้อ,CPAC,เชียงใหม่
"90000144",RMC North,"00014806",North 3,"00014991",Prod.นครสวรรค์,"31WZ",นครสวรรค์-สามแยกเลี่ยงเมือง,CPAC,นครสวรรค์
