"DIVISION_NO","DIVISION_NAME","DEPARTMENT_NO","DEPARTMENT_NAME","SECT_NO","SECT_NAME","PLANT_NO","PLANT_NAME","PLANT_TYPE","PROVINCE_NAME"
"90000142",RMC East,"00020163",East 1,"00020176",ผลิตสระบุรี,"31FM",เขาวง 4,CPAC,สระบุรี
"90000142",RMC East,"00020163",East 1,"00020177",ผลิตปราจีนบุรี,"31FR",อรัญประเทศ,CPAC,สระแก้ว
"90000142",RMC East,"00020163",East 1,"00020177",ผลิตปราจีนบุรี,"31FS",ศรีมหาโพธิ,CPAC,ปราจีนบุรี
"90000142",RMC East,"00020163",East 1,"00020177",ผลิตปราจีนบุรี,"31FT",ปราจีนบุรี 2,CPAC,ปราจีนบุรี
"90000142",RMC East,"00020163",East 1,"00020176",ผลิตสระบุรี,"31FW",หนองแค-ระพีพัฒน์,CPAC,สระบุรี
"90000142",RMC East,"00020163",East 1,"00020176",ผลิตสระบุรี,"31FX",องครักษ์ 2,CPAC,นครนายก
"90000142",RMC East,"00023135",East 3,"00020171",ผลิตบ่อวิน,"31G2",นิคมเหมราช-บ่อวิน,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00020170",ผลิตศรีราชา,"31G3",ศรีราชา M1,CPAC,ชลบุรี
"90000142",RMC East,"00020163",East 1,"00020177",ผลิตปราจีนบุรี,"31G4",ศรีมหาโพธิ 3,CPAC,ปราจีนบุรี
"90000142",RMC East,"00020164",East 2,"00020170",ผลิตศรีราชา,"31G7",แหลมฉบัง-ทุ่งกราด 1,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00020178",ผลิตฉะเชิงเทรา,"31GA",ฉะเชิงเทรา 2,CPAC,ฉะเชิงเทรา
"90000142",RMC East,"00020164",East 2,"00020178",ผลิตฉะเชิงเทรา,"31GC",เกตเวย์ 1,CPAC,ฉะเชิงเทรา
"90000142",RMC East,"00020164",East 2,"00020178",ผลิตฉะเชิงเทรา,"31GD",บางวัว,CPAC,ฉะเชิงเทรา
"90000142",RMC East,"00020164",East 2,"00020170",ผลิตศรีราชา,"31GE",พัทยา,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00023190",ผลิตพานทอง,"31GF",พานทอง 1,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00020170",ผลิตศรีราชา,"31GG",ศรีราชา 2,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00020170",ผลิตศรีราชา,"31GH",แหลมฉบัง 1,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00023190",ผลิตพานทอง,"31GI",ชลบุรีคีรีนคร,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00020170",ผลิตศรีราชา,"31GJ",จอมเทียน 1,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00023190",ผลิตพานทอง,"31GM",อมตะนคร,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00020178",ผลิตฉะเชิงเทรา,"31GN",บ้านโพธิ์,CPAC,ฉะเชิงเทรา
"90000142",RMC East,"00020164",East 2,"00020170",ผลิตศรีราชา,"31GO",จอมเทียน 2,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00023190",ผลิตพานทอง,"31GQ",พานทอง 4,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00020170",ผลิตศรีราชา,"31GY",แหลมฉบัง-ทุ่งกราด 2,CPAC,ชลบุรี
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"31HA",มาบตาพุด 3,CPAC,ระยอง
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"31HC",จันทบุรี,CPAC,จันทบุรี
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"31HH",ระยอง,CPAC,ระยอง
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"31HM",มาบตาพุด 4,CPAC,ระยอง
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"31HR",มาบตาพุด 6,CPAC,ระยอง
"90000142",RMC East,"00023135",East 3,"00020171",ผลิตบ่อวิน,"31HS",นิคมเหมราช,CPAC,ชลบุรี
"90000142",RMC East,"00023135",East 3,"00020171",ผลิตบ่อวิน,"31HU",นิคมอมตะซิตี้,CPAC,ชลบุรี
"90000142",RMC East,"00023135",East 3,"00020171",ผลิตบ่อวิน,"31HV",นิคมเครือซิเมนต์ไทย 2,CPAC,ระยอง
"90000142",RMC East,"00023135",East 3,"00020171",ผลิตบ่อวิน,"31HW",นิคมปิ่นทอง,CPAC,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00023190",ผลิตพานทอง,"31IH",บางแสน 1(FC Type X),X,ชลบุรี
"90000142",RMC East,"00020163",East 1,"00020176",ผลิตสระบุรี,"31IM",พรหมณี,CPAC,นครนายก
"90000142",RMC East,"00020163",East 1,"00020177",ผลิตปราจีนบุรี,"31IN",ปราจีนบุรี-รอบเมือง,CPAC,ปราจีนบุรี
"90000143",RMC West,"00014547",West 1,"00014669",Prod.อ่างทอง,"31K3",ไชโย,CPAC,อ่างทอง
"90000143",RMC West,"00014547",West 1,"00014670",Prod.อยุธยา,"31K4",ภาชี 3  (ปิดชั่วคราว),CPAC,พระนครศรีอยุธยา
"90000143",RMC West,"00014548",West 2,"00014615",Prod.เพชรบุรี,"31K9",ปากท่อ,CPAC,ราชบุรี
"90000143",RMC West,"00014547",West 1,"00014669",Prod.อ่างทอง,"31KA",สิงห์บุรี,CPAC,สิงห์บุรี
"90000143",RMC West,"00014547",West 1,"00014670",Prod.อยุธยา,"31KD",โรจนะ,CPAC,พระนครศรีอยุธยา
"90000143",RMC West,"00014547",West 1,"00014669",Prod.อ่างทอง,"31KG",เสนา,CPAC,พระนครศรีอยุธยา
"90000143",RMC West,"00014547",West 1,"00014669",Prod.อ่างทอง,"31KJ",ชัยนาท,CPAC,ชัยนาท
"90000143",RMC West,"00014547",West 1,"00014669",Prod.อ่างทอง,"31KK",อ่างทอง,CPAC,อ่างทอง
"90000143",RMC West,"00014547",West 1,"00014669",Prod.อ่างทอง,"31KO",สุพรรณบุรี 2,CPAC,สุพรรณบุรี
"90000143",RMC West,"00014547",West 1,"00014670",Prod.อยุธยา,"31KQ",วังน้อย,CPAC,พระนครศรีอยุธยา
"90000143",RMC West,"00014547",West 1,"00014670",Prod.อยุธยา,"31KR",โรจนะ-อุทัย,CPAC,พระนครศรีอยุธยา
"90000143",RMC West,"00014547",West 1,"00014670",Prod.อยุธยา,"31KS",สหรัตนนคร,CPAC,พระนครศรีอยุธยา
"90000143",RMC West,"00014547",West 1,"00014669",Prod.อ่างทอง,"31KU",ลาดบัวหลวง 2,CPAC,พระนครศรีอยุธยา
"90000143",RMC West,"00014547",West 1,"00014669",Prod.อ่างทอง,"31KY",มโนรมย์ 2,CPAC,ชัยนาท
"90000143",RMC West,"00014547",West 1,"00014669",Prod.อ่างทอง,"31KZ",ป่าโมก,CPAC,พระนครศรีอยุธยา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014277",Prod.บุรีรัมย์,"31L9",นางรอง 2,CPAC,บุรีรัมย์
"90000143",RMC West,"00014548",West 2,"00014615",Prod.เพชรบุรี,"31LC",โพธาราม,CPAC,ราชบุรี
"90000143",RMC West,"00014548",West 2,"00014641",Prod.นครปฐม,"31LF",พุทธมณฑลสาย 7,CPAC,นครปฐม
"90000143",RMC West,"00014548",West 2,"00014641",Prod.นครปฐม,"31LG",บ้านโป่ง,CPAC,ราชบุรี
"90000143",RMC West,"00014548",West 2,"00014641",Prod.นครปฐม,"31LL",นครปฐม 2,CPAC,นครปฐม
"90000143",RMC West,"00014548",West 2,"00014641",Prod.นครปฐม,"31LM",โรงงานบางเลน (บางภาษี),CPAC,นครปฐม
"90000143",RMC West,"00014548",West 2,"00014641",Prod.นครปฐม,"31LN",ศาลายา 2,CPAC,นครปฐม
"90000143",RMC West,"00014548",West 2,"00014641",Prod.นครปฐม,"31LP",กำแพงแสน 2,CPAC,นครปฐม
"90000143",RMC West,"00014548",West 2,"00014641",Prod.นครปฐม,"31LU",ดอนตูม,CPAC,นครปฐม
"90000143",RMC West,"00014548",West 2,"00014641",Prod.นครปฐม,"31LV",พระประโทน,CPAC,นครปฐม
"90000145",RMC Northeast,"00014222",Northeast 1,"00014251",Prod.โคราช-หัวทะเล,"31M1",ปักธงชัย 2,CPAC,นครราชสีมา
"90000143",RMC West,"00014548",West 2,"00014648",Prod.สมุทรสาคร,"31MA",อ้อมน้อย,CPAC,สมุทรสาคร
"90000143",RMC West,"00014548",West 2,"00014648",Prod.สมุทรสาคร,"31MB",สมุทรสาคร,CPAC,สมุทรสาคร
"90000143",RMC West,"00014548",West 2,"00014615",Prod.เพชรบุรี,"31MC",เขาย้อย,CPAC,เพชรบุรี
