row_no,selected,plant_code,plant_name,material_code,material_name,source_category,contract_type,interface_type,effective_date,end_date,main_contract_no,transporter_code,transporter_name,source_code,source_name,source_plant_code,source_plant_name,quantity,distance_km,transport_vehicle,rawmat_price,transport_price,loading_price,crushing_price,gap,rebate,fuel_price_period,fuel_base_price,fuel_step_type,fuel_step,fuel_step_rate,fuel_step_count,fuel_adjust_price,transport_price_after_adjust,crushing_step_type,crushing_step,crushing_step_rate,crushing_adjust_price,crushing_price_after_adjust,due_payment,early_payment_price,total_transportation_price,total_price,market_price
797,,31CJ,ลาดกระบัง,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1066957,บจ.สานนท์,V000000094,เสนา,,,0,125.0,,120.0,162.24,0.0,0.0,0,0,30.05,32.55,อัตรามาตรฐาน,0,1.53,-5,-7.65,154.59,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,154.59,274.59,0
798,,31CL,บางโคล่,C12,SCG Hybrid Cement,หลัก,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1311.0,โรงงานเขาวง,0,141.7,,1338.39,197.0,0.0,0.0,0,0,29.01,29.01,อัตรามาตรฐาน,0,0.0,0,0.0,197.0,,0.0,0.0,0.0,0.0,0,,197.0,1535.39,1694
799,,31CL,บางโคล่,C12,SCG Hybrid Cement,สำรอง,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1322.0,ศูนย์จ่ายพระประแดง,0,13.1,,1562.58,125.0,0.0,0.0,92,0,29.01,30.01,อัตรามาตรฐาน,0,0.0,-1,0.0,125.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,125.0,1687.58,1694
800,,31CL,บางโคล่,C12,SCG Hybrid Cement,สำรอง,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0141,บจ.ปูนซิเมนต์ไทย (แก่งคอย),1411.0,โรงงานแก่งคอย,0,148.0,,1540.0,197.0,0.0,0.0,0,0,29.01,29.01,อัตรามาตรฐาน,0,0.0,0,0.0,197.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,197.0,1737.0,1694
801,,31CL,บางโคล่,D24,Daratard P848,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1078204,บจ.จีซีพี แอพพลายด์ เทคโนโลยีส์โฮลดิ้งส์ (ไทยแลนด์),1078204,บจ.จีซีพี แอพพลายด์ เทคโนโลยีส์โฮลดิ้งส์ (ไทยแลนด์),,,0,0.0,,9.45,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,9.45,0
802,,31CL,บางโคล่,D29,SIKA-D2323,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,109.0,1092469,บจ.ซิก้า (ประเทศไทย),1092469,บจ.ซิก้า (ประเทศไทย),,,0,0.0,,7.6,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,7.6,0
803,,31CL,บางโคล่,F18,MIGHTY 150HB-2,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),,,0,0.0,,17.25,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,17.25,0
804,,31CL,บางโคล่,F47,MIGHTY 150HB-9,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),,,0,0.0,,15.56,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,15.56,0
805,,31CL,บางโคล่,MF1,Fly Ash (MAEMOH),สำรอง,สัญญาสารผสมเพิ่มพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),85239.0,Hub PFA พระประแดง,0,13.1,,1404.0,125.0,0.0,0.0,0,0,29.01,31.01,อัตรามาตรฐาน,0,0.0,-2,0.0,125.0,,0.0,0.0,0.0,0.0,0,,125.0,1529.0,0
806,,31CL,บางโคล่,MF1,Fly Ash (MAEMOH),หลัก,สัญญาสารผสมเพิ่มพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0191,บจ.ปูนซิเมนต์ไทย (ลำปาง),85237.0,แม่เมาะ,0,643.0,,1030.0,671.0,0.0,0.0,0,0,29.01,29.01,อัตรามาตรฐาน,0,0.0,0,0.0,671.0,,0.0,0.0,0.0,0.0,0,,671.0,1701.0,0
807,,31CL,บางโคล่,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1000266,บจ.สหอรพรรณ,V000000244,โรงโม่หินศิลาสินทรัพย์,,,0,139.0,,185.0,193.6,0.0,0.0,5,0,30.05,32.55,อัตรามาตรฐาน,0,1.87,-5,-9.35,184.25,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,2,2.96,181.29,366.29,0
808,,31CL,บางโคล่,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1000266,บจ.สหอรพรรณ,V000000244,โรงโม่หินศิลาสินทรัพย์,,,0,139.0,,185.0,193.6,0.0,0.0,5,0,30.05,32.55,อัตรามาตรฐาน,0,1.87,-5,-9.35,184.25,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,2,2.96,181.29,366.29,0
