row_no,selected,plant_code,plant_name,material_code,material_name,source_category,contract_type,interface_type,effective_date,end_date,main_contract_no,transporter_code,transporter_name,source_code,source_name,source_plant_code,source_plant_name,quantity,distance_km,transport_vehicle,rawmat_price,transport_price,loading_price,crushing_price,gap,rebate,fuel_price_period,fuel_base_price,fuel_step_type,fuel_step,fuel_step_rate,fuel_step_count,fuel_adjust_price,transport_price_after_adjust,crushing_step_type,crushing_step,crushing_step_rate,crushing_adjust_price,crushing_price_after_adjust,due_payment,early_payment_price,total_transportation_price,total_price,market_price
1,,13AL,คาราบาว,C12,SCG Hybrid Cement,สำรอง,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1311.0,โรงงานเขาวง,0,138.0,,1338.39,202.0,0.0,0.0,0,0,29.01,30.01,อัตรามาตรฐาน,0,0.0,-1,0.0,202.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,202.0,1540.39,1694
2,,13AL,คาราบาว,C12,SCG Hybrid Cement,หลัก,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1322.0,ศูนย์จ่ายพระประแดง,0,17.4,,1562.58,135.0,0.0,0.0,92,0,29.01,31.01,อัตรามาตรฐาน,0,0.0,-2,0.0,135.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,135.0,1697.58,1694
3,,13AL,คาราบาว,D29,SIKA-D2323,หลัก,สัญญาน้ำยาพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,1092469,บจ.ซิก้า (ประเทศไทย),1092469,บจ.ซิก้า (ประเทศไทย),,,0,0.0,,7.6,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,0.0,7.6,0
4,,13AL,คาราบาว,F47,MIGHTY 150HB-9,หลัก,สัญญาน้ำยาพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),,,0,0.0,,17.25,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,0.0,17.25,0
5,,13AL,คาราบาว,MF1,Fly Ash (MAEMOH),หลัก,สัญญาสารผสมเพิ่มพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),85239.0,Hub PFA พระประแดง,0,17.4,,1404.0,135.0,0.0,0.0,0,0,29.01,31.01,อัตรามาตรฐาน,0,0.0,-2,0.0,135.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,135.0,1539.0,0
6,,13AL,คาราบาว,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1113693,บจ.มหาสมุทรเหมืองแร่,V000000165,โรงโม่หินสินสมุทร,,,30,150.0,รถเทรลเลอร์,160.0,150.0,0.0,0.0,20,0,30.05,32.05,อัตรามาตรฐาน,0,1.87,-4,-7.48,142.52,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,142.52,302.52,0
7,,13AL,คาราบาว,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1113693,บจ.มหาสมุทรเหมืองแร่,V000000165,โรงโม่หินสินสมุทร,,,30,150.0,รถเทรลเลอร์,160.0,150.0,0.0,0.0,20,0,30.05,32.05,อัตรามาตรฐาน,0,1.87,-4,-7.48,142.52,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,142.52,302.52,0
8,,13AL,คาราบาว,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1093517,บจ.เพชรวิเศษ 1974,V000000263,บ่อเพชรทรายทอง (มิสเตอร์ คอนกรีต),,,30,88.0,รถเทรลเลอร์,105.0,101.2,0.0,0.0,20,0,30.05,32.05,อัตรามาตรฐาน,0,1.2,-4,-4.8,96.4,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,96.4,201.4,0
9,,13AL,คาราบาว,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1093517,บจ.เพชรวิเศษ 1974,V000000263,บ่อเพชรทรายทอง (มิสเตอร์ คอนกรีต),,,30,88.0,รถเทรลเลอร์,105.0,101.2,0.0,0.0,20,0,30.05,32.05,อัตรามาตรฐาน,0,1.2,-4,-4.8,96.4,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,96.4,201.4,0
10,,13AL,คาราบาว,S01,ทรายหยาบ-ปกติ,สำรอง,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1093517,บจ.เพชรวิเศษ 1974,V000000797,บ่อทราย C.N ทรายทอง,,,30,96.0,รถเทรลเลอร์,105.0,110.4,0.0,0.0,20,0,30.05,32.05,อัตรามาตรฐาน,0,1.2,-4,-4.8,105.6,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,105.6,210.6,0
11,,13AL,คาราบาว,S01,ทรายหยาบ-ปกติ,สำรอง,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1093517,บจ.เพชรวิเศษ 1974,V000000797,บ่อทราย C.N ทรายทอง,,,30,96.0,รถเทรลเลอร์,105.0,110.4,0.0,0.0,20,0,30.05,32.05,อัตรามาตรฐาน,0,1.2,-4,-4.8,105.6,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,105.6,210.6,0
12,,13AX,บางปลา 3,C12,SCG Hybrid Cement,หลัก,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1311.0,โรงงานเขาวง,0,157.0,,1338.39,155.0,0.0,0.0,0,-3,29.01,31.01,อัตรามาตรฐาน,0,0.0,-2,0.0,155.0,,0.0,0.0,0.0,0.0,0,,155.0,1493.39,1694
13,,13AX,บางปลา 3,C12,SCG Hybrid Cement,สำรอง,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1322.0,ศูนย์จ่ายพระประแดง,0,31.8,,1562.58,149.0,0.0,0.0,92,0,29.01,29.01,อัตรามาตรฐาน,0,0.0,0,0.0,149.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,149.0,1711.58,1694
14,,13AX,บางปลา 3,C12,SCG Hybrid Cement,สำรอง,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0141,บจ.ปูนซิเมนต์ไทย (แก่งคอย),1411.0,โรงงานแก่งคอย,0,158.0,,1454.0,156.0,0.0,0.0,0,0,29.01,29.01,อัตรามาตรฐาน,0,0.0,0,0.0,156.0,,0.0,0.0,0.0,0.0,0,,156.0,1610.0,1694
15,,13AX,บางปลา 3,D24,Daratard P848,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1078204,บจ.จีซีพี แอพพลายด์ เทคโนโลยีส์โฮลดิ้งส์ (ไทยแลนด์),1078204,บจ.จีซีพี แอพพลายด์ เทคโนโลยีส์โฮลดิ้งส์ (ไทยแลนด์),,,0,0.0,,9.45,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,9.45,0
16,,13AX,บางปลา 3,D29,SIKA-D2323,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1092469,บจ.ซิก้า (ประเทศไทย),1092469,บจ.ซิก้า (ประเทศไทย),,,0,0.0,,7.6,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,7.6,0
17,,13AX,บางปลา 3,F18,MIGHTY 150HB-2,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),,,0,0.0,,17.25,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,17.25,0
18,,13AX,บางปลา 3,F47,MIGHTY 150HB-9,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),,,0,0.0,,15.56,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,,0.0,15.56,0
19,,13AX,บางปลา 3,MF1,Fly Ash (MAEMOH),สำรอง,สัญญาสารผสมเพิ่มพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),85239.0,Hub PFA พระประแดง,0,36.0,,1404.0,151.0,0.0,0.0,0,0,29.01,31.01,อัตรามาตรฐาน,0,0.0,-2,0.0,151.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,151.0,1555.0,0
20,,13AX,บางปลา 3,MF1,Fly Ash (MAEMOH),หลัก,สัญญาสารผสมเพิ่มพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0191,บจ.ปูนซิเมนต์ไทย (ลำปาง),85237.0,แม่เมาะ,0,684.0,,1030.0,714.0,0.0,0.0,0,0,29.01,29.01,อัตรามาตรฐาน,0,0.0,0,0.0,714.0,,0.0,0.0,0.0,0.0,0,,714.0,1744.0,0
21,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1112787,บจ.ทรายทองไพบูลย์ (2008),1149509,บจ.โรงโม่หินพิบูลย์รัตน์,,,30,79.0,รถเทรลเลอร์,310.0,87.69,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,1.2,-4,-4.8,82.89,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,82.89,392.89,0
22,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1112787,บจ.ทรายทองไพบูลย์ (2008),1149509,บจ.โรงโม่หินพิบูลย์รัตน์,,,30,79.0,รถเทรลเลอร์,310.0,87.69,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,1.2,-4,-4.8,82.89,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,82.89,392.89,0
23,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000142,โรงโม่หินแกรนิตไทย,,,30,79.0,รถเทรลเลอร์,310.0,87.69,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,1.2,-4,-4.8,82.89,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,82.89,392.89,0
24,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000142,โรงโม่หินแกรนิตไทย,,,30,79.0,รถเทรลเลอร์,310.0,87.69,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,1.2,-4,-4.8,82.89,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,82.89,392.89,0
25,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000161,โรงโม่หินสโตนวัน (ชลบุรี),,,30,70.0,รถเทรลเลอร์,300.0,77.7,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,0.86,-4,-3.44,74.26,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,74.26,374.26,0
26,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000161,โรงโม่หินสโตนวัน (ชลบุรี),,,30,70.0,รถเทรลเลอร์,300.0,77.7,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,0.86,-4,-3.44,74.26,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,74.26,374.26,0
27,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000321,สยามสโตน แอ๊กกริเกรท ชลบุรี,,,30,73.0,รถเทรลเลอร์,295.0,81.06,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,0.86,-4,-3.44,77.62,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,77.62,372.62,0
28,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000321,สยามสโตน แอ๊กกริเกรท ชลบุรี,,,30,73.0,รถเทรลเลอร์,295.0,81.06,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,0.86,-4,-3.44,77.62,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,77.62,372.62,0
29,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000553,โรงโม่หิน เจ.โอ.บี.คอนสตรัคชั่น,,,30,73.0,รถเทรลเลอร์,295.0,81.06,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,0.86,-4,-3.44,77.62,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,77.62,372.62,0
30,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000553,โรงโม่หิน เจ.โอ.บี.คอนสตรัคชั่น,,,30,73.0,รถพ่วง,295.0,81.06,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,0.86,-4,-3.44,77.62,,0.0,0.0,0.0,0.0,1,0.0,77.62,372.62,0
31,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000812,บริษัท เทพศิลา แอกรีเกรท ซัพพลาย จำกัด,,,30,66.0,รถพ่วง,295.0,75.9,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,0.86,-4,-3.44,72.46,,0.0,0.0,0.0,0.0,1,0.0,72.46,367.46,0
32,,13AX,บางปลา 3,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000812,บริษัท เทพศิลา แอกรีเกรท ซัพพลาย จำกัด,,,30,66.0,รถเทรลเลอร์,295.0,75.9,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,0.86,-4,-3.44,72.46,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,72.46,367.46,0
33,,13AX,บางปลา 3,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000240,บจก.มาศกร,,,30,127.0,รถพ่วง,120.0,122.89,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,1.87,-4,-7.48,115.41,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,115.41,235.41,0
34,,13AX,บางปลา 3,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000240,บจก.มาศกร,,,30,127.0,รถพ่วง,120.0,122.89,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,1.87,-4,-7.48,115.41,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,115.41,235.41,0
35,,13B2,พระนครใต้ 3,C12,SCG Hybrid Cement,หลัก,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1322.0,ศูนย์จ่ายพระประแดง,0,8.5,,1562.58,109.0,0.0,0.0,92,0,29.01,31.01,อัตรามาตรฐาน,0,0.0,-2,0.0,109.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,109.0,1671.58,1694
36,,13B2,พระนครใต้ 3,MF1,Fly Ash (MAEMOH),หลัก,สัญญาสารผสมเพิ่มพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),85239.0,Hub PFA พระประแดง,0,8.5,,1404.0,111.0,0.0,0.0,0,0,29.01,31.01,อัตรามาตรฐาน,0,0.0,-2,0.0,111.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,111.0,1515.0,0
37,,13B2,พระนครใต้ 3,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-14,,1132062,บจ.ส.เจริญทรัพย์ แมททีเรียล,1132062,บจ.ส.เจริญทรัพย์ แมททีเรียล,,,35,6.0,รถเทรลเลอร์,185.0,195.0,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,0.3,-4,-1.2,193.8,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,193.8,378.8,0
38,,13B2,พระนครใต้ 3,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-14,,1132062,บจ.ส.เจริญทรัพย์ แมททีเรียล,1132062,บจ.ส.เจริญทรัพย์ แมททีเรียล,,,35,6.0,รถเทรลเลอร์,120.0,120.0,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,0.3,-4,-1.2,118.8,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,118.8,238.8,0
39,,13B3,เปรง,C12,SCG Hybrid Cement,หลัก,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1311.0,โรงงานเขาวง,0,163.0,,1338.39,204.0,0.0,0.0,0,0,29.01,32.01,อัตรามาตรฐาน,0,0.0,-3,0.0,204.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,204.0,1542.39,1694
40,,13B3,เปรง,C12,SCG Hybrid Cement,สำรอง,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0141,บจ.ปูนซิเมนต์ไทย (แก่งคอย),1411.0,โรงงานแก่งคอย,0,152.0,,1708.0,202.0,0.0,0.0,0,0,29.01,32.01,อัตรามาตรฐาน,0,0.0,-3,0.0,202.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,202.0,1910.0,1694
41,,13B3,เปรง,D29,SIKA-D2323,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1092469,บจ.ซิก้า (ประเทศไทย),1092469,บจ.ซิก้า (ประเทศไทย),,,0,0.0,,7.6,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,0.0,7.6,0
42,,13B3,เปรง,F47,MIGHTY 150HB-9,หลัก,สัญญาน้ำยาพร้อมขนส่ง,N : ไม่ INTERFACE GR,2026-02-01,2026-02-28,,1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),,,0,0.0,,15.56,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,0.0,15.56,0
43,,13B3,เปรง,MF1,Fly Ash (MAEMOH),หลัก,สัญญาสารผสมเพิ่มพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0191,บจ.ปูนซิเมนต์ไทย (ลำปาง),85237.0,แม่เมาะ,0,685.0,,1030.0,715.0,0.0,0.0,0,0,29.01,29.01,อัตรามาตรฐาน,0,0.0,0,0.0,715.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,715.0,1745.0,0
44,,13B3,เปรง,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-15,2026-02-28,,1012876,บจ.พรีเมียร์ พลัส พร็อพเพอร์ตี้,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1311.0,โรงงานเขาวง,35,157.0,รถเทรลเลอร์,183.19,139.73,0.0,0.0,0,0,30.05,32.55,อัตรามาตรฐาน,0,2.21,-5,-11.05,128.68,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,128.68,311.87,0
45,,13B3,เปรง,R01,"หิน 3/4""-#4",สำรอง,สัญญาซื้อขายหินพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-14,,1012876,บจ.พรีเมียร์ พลัส พร็อพเพอร์ตี้,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1311.0,โรงงานเขาวง,35,157.0,รถเทรลเลอร์,183.19,139.73,0.0,0.0,0,0,30.05,32.55,อัตรามาตรฐาน,0,2.21,-5,-11.05,128.68,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,128.68,311.87,0
46,,13B3,เปรง,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1012876,บจ.พรีเมียร์ พลัส พร็อพเพอร์ตี้,V000000547,โรงโม่หินศิลาสากล สระบุรี (ซีวิล),,,35,158.0,รถเทรลเลอร์,195.0,139.04,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,2.21,-4,-8.84,130.2,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,130.2,325.2,0
47,,13B3,เปรง,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1012876,บจ.พรีเมียร์ พลัส พร็อพเพอร์ตี้,V000000547,โรงโม่หินศิลาสากล สระบุรี (ซีวิล),,,35,158.0,รถเทรลเลอร์,195.0,139.04,0.0,0.0,0,0,30.05,32.05,อัตรามาตรฐาน,0,2.21,-4,-8.84,130.2,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,130.2,325.2,0
48,,13B3,เปรง,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1112787,บจ.ทรายทองไพบูลย์ (2008),V000000240,บจก.มาศกร,,,35,122.0,รถเทรลเลอร์,120.0,130.54,0.0,0.0,0,0,30.05,32.55,อัตรามาตรฐาน,0,1.53,-5,-7.65,122.89,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,122.89,242.89,0
